"risk_id","altai_ids","notes"
"EG-R-0001","robustness;accountability",""
"EG-R-0002","robustness;transparency",""
"EG-R-0003","robustness;accountability",""
"EG-R-0004","privacy;transparency",""
"EG-R-0005","privacy;fairness",""
"EG-R-0006","accountability;robustness",""
"EG-R-0007","agency;transparency",""
"EG-R-0008","agency;accountability",""
"EG-R-0009","accountability;societal",""
"EG-R-0010","robustness;accountability",""
"EG-R-0011","fairness;accountability",""
"EG-R-0012","transparency;accountability",""
"EG-R-0013","agency;accountability",""
"EG-R-0014","robustness;accountability",""
"EG-R-0015","robustness;accountability",""
"EG-R-0016","robustness;privacy",""
"EG-R-0017","robustness;accountability",""
"EG-R-0018","accountability;fairness",""
"EG-R-0019","accountability;transparency",""
"EG-R-0020","transparency;accountability",""
"EG-R-0021","privacy;accountability",""
"EG-R-0022","privacy;accountability",""
"EG-R-0023","robustness;accountability",""
"EG-R-0024","robustness;accountability",""
